video_id,qid,question_type,question_family,gold_span_length_s,span_bucket,survived,total_frames,survivor_count,retention_pct
11566980553,2,TN,temporal,4.7,long,True,1721,228,13.248
10042935613,2,CW,causal,5.0,long,True,1710,200,11.696
3960291106,2,CW,causal,4.9,long,True,1428,191,13.375
4138579400,7,TN,temporal,4.0,long,True,601,81,13.478
8493226484,4,TN,temporal,2.7,long,True,968,134,13.843
3372023610,5,TN,temporal,1.2,short,True,1017,136,13.373
5017166671,1,TN,temporal,3.7,long,True,2697,360,13.348
3557498300,6,TN,temporal,2.7,long,True,849,114,13.428
3581585756,2,CW,causal,4.6,long,True,702,95,13.533
7771650716,1,CW,causal,7.6,long,True,1805,247,13.684
12682618843,1,TN,temporal,7.4,long,True,1458,172,11.797
2984974097,1,TC,temporal,5.6,long,True,899,121,13.459
8464056582,1,CW,causal,10.8,long,True,1340,179,13.358
5681946487,1,CW,causal,5.1,long,True,848,114,13.443
4264435046,0,CH,causal,18.4,long,True,566,76,13.428
6624174621,4,CH,causal,1.1,short,True,1212,163,13.449
7114553643,2,CW,causal,12.8,long,True,1974,264,13.374
3626788516,4,CW,causal,3.8,long,True,337,46,13.65
2809330695,0,CW,causal,7.2,long,True,2158,289,13.392
2614918961,2,CW,causal,3.8,long,True,1311,175,13.349
3972259774,1,CW,causal,7.9,long,True,1063,143,13.452
4968805923,7,TN,temporal,2.7,long,True,313,43,13.738
11871253306,6,TN,temporal,3.4,long,True,1476,173,11.721
4419096437,4,CH,causal,9.7,long,True,1584,212,13.384
8594314852,7,CW,causal,2.5,short,True,377,51,13.528
3869005094,6,CH,causal,8.0,long,True,300,40,13.333
3321261856,6,TC,temporal,7.2,long,True,855,115,13.45
8428551576,9,TN,temporal,7.8,long,True,2688,359,13.356
10779838974,7,TN,temporal,7.4,long,True,890,105,11.798
5235909148,7,CH,causal,5.5,long,True,354,48,13.559
4915733559,1,TN,temporal,3.1,long,True,1069,143,13.377
6898821807,11,TN,temporal,5.0,long,True,585,79,13.504
6443512089,8,TC,temporal,1.8,short,True,2437,326,13.377
2868183184,7,TN,temporal,28.7,long,True,1551,209,13.475
7059877301,6,CW,causal,5.2,long,True,918,123,13.399
8403741210,5,TN,temporal,3.9,long,True,1327,178,13.414
8513603944,9,CH,causal,9.8,long,True,919,123,13.384
3145698830,0,CW,causal,5.2,long,True,1763,236,13.386
8495272210,1,CH,causal,6.3,long,True,630,84,13.333
4130504920,2,TC,temporal,3.4,long,True,422,58,13.744
4955723618,2,TC,temporal,12.8,long,True,1831,245,13.381
7331927796,6,CW,causal,1.8,short,True,519,70,13.487
6691330381,5,TN,temporal,10.8,long,True,1239,166,13.398
5061117640,8,TN,temporal,5.4,long,True,1587,213,13.422
4584426085,4,TC,temporal,11.7,long,True,2697,360,13.348
6806999702,3,CW,causal,1.4,short,True,2697,360,13.348
14003541505,6,CW,causal,5.9,long,True,507,64,12.623
2435100235,6,TN,temporal,3.5,long,True,1906,256,13.431
6078524411,5,CH,causal,21.4,long,True,2512,336,13.376
6031805098,1,CW,causal,3.6,long,True,1368,185,13.523
2435633172,3,TN,temporal,29.4,long,True,2293,307,13.389
5875535585,4,TC,temporal,74.1,long,True,2291,306,13.357
4263096481,5,TN,temporal,12.8,long,True,637,86,13.501
6713120511,0,TC,temporal,18.2,long,True,1664,223,13.401
6691330381,6,TN,temporal,5.3,long,True,1239,166,13.398
7453733046,5,TN,temporal,2.5,short,True,992,134,13.508
6592821115,12,TN,temporal,7.5,long,True,1800,253,14.056
6592821115,10,TN,temporal,9.5,long,True,1800,253,14.056
6713120511,6,TN,temporal,13.5,long,True,1664,223,13.401
11681746823,7,TN,temporal,5.2,long,True,608,72,11.842
11681746823,2,CW,causal,5.3,long,True,608,72,11.842
3830567237,7,TC,temporal,19.2,long,True,716,96,13.408
6037747123,5,CH,causal,5.5,long,True,919,123,13.384
7288107396,4,TN,temporal,2.2,short,True,507,68,13.412
3960291106,9,TC,temporal,6.4,long,True,1428,191,13.375
5070310138,2,TN,temporal,5.9,long,True,1603,216,13.475
4264435046,7,TC,temporal,4.7,long,True,566,76,13.428
7001078933,1,CW,causal,3.0,long,True,633,86,13.586
6188449000,5,TN,temporal,11.5,long,True,1350,188,13.926
2573424030,9,TN,temporal,2.3,short,True,1470,197,13.401
