arm,query_mode,traversal,scope,metric,value,n
B,legacy,none,gold_width=<2s,zero_width_rate,0.0,278
B,legacy,none,gold_width=<2s,invalid_span_count,0,278
B,legacy,none,gold_width=<2s,mean_pred_span_width,4.232882014388489,278
B,legacy,none,gold_width=<2s,median_retrieval_ms,14.6905,278
B,legacy,none,gold_width=<2s,p95_retrieval_ms,19.5786,278
B,legacy,none,gold_width=<2s,mean_ppr_calls,4.133093525179856,278
B,legacy,none,gold_width=<2s,max_ppr_calls,5,278
B,legacy,none,gold_width=<2s,avg_context_frames,4.0,278
B,legacy,none,gold_width=<2s,max_context_frames_observed,4,278
B,legacy,none,gold_width=2-5s,n,1125,1125
B,legacy,none,gold_width=2-5s,gold_frame_at_4,0.4222222222222222,1125
B,legacy,none,gold_width=2-5s,anchor_in_gold_at_1,0.2008888888888889,1125
B,legacy,none,gold_width=2-5s,mIoP,0.1933497431111111,1125
B,legacy,none,gold_width=2-5s,mIoU,0.16426061955555554,1125
B,legacy,none,gold_width=2-5s,IoP@0.3,0.29333333333333333,1125
B,legacy,none,gold_width=2-5s,IoP@0.5,0.21244444444444444,1125
B,legacy,none,gold_width=2-5s,IoU@0.3,0.2568888888888889,1125
B,legacy,none,gold_width=2-5s,IoU@0.5,0.16177777777777777,1125
B,legacy,none,gold_width=2-5s,zero_width_count,0,1125
B,legacy,none,gold_width=2-5s,zero_width_rate,0.0,1125
B,legacy,none,gold_width=2-5s,invalid_span_count,0,1125
B,legacy,none,gold_width=2-5s,mean_pred_span_width,4.272934311111111,1125
B,legacy,none,gold_width=2-5s,median_retrieval_ms,14.774,1125
B,legacy,none,gold_width=2-5s,p95_retrieval_ms,19.937099999999997,1125
B,legacy,none,gold_width=2-5s,mean_ppr_calls,4.0391111111111115,1125
B,legacy,none,gold_width=2-5s,max_ppr_calls,5,1125
B,legacy,none,gold_width=2-5s,avg_context_frames,4.0,1125
B,legacy,none,gold_width=2-5s,max_context_frames_observed,4,1125
B,legacy,none,gold_width=5-10s,n,731,731
B,legacy,none,gold_width=5-10s,gold_frame_at_4,0.5868673050615595,731
B,legacy,none,gold_width=5-10s,anchor_in_gold_at_1,0.34062927496580025,731
B,legacy,none,gold_width=5-10s,mIoP,0.31893246374829004,731
B,legacy,none,gold_width=5-10s,mIoU,0.18690584404924762,731
B,legacy,none,gold_width=5-10s,IoP@0.3,0.3898768809849521,731
B,legacy,none,gold_width=5-10s,IoP@0.5,0.332421340629275,731
B,legacy,none,gold_width=5-10s,IoU@0.3,0.31053351573187415,731
B,legacy,none,gold_width=5-10s,IoU@0.5,0.16689466484268126,731
B,legacy,none,gold_width=5-10s,zero_width_count,0,731
B,legacy,none,gold_width=5-10s,zero_width_rate,0.0,731
B,legacy,none,gold_width=5-10s,invalid_span_count,0,731
B,legacy,none,gold_width=5-10s,mean_pred_span_width,4.274397127222982,731
B,legacy,none,gold_width=5-10s,median_retrieval_ms,14.625,731
B,legacy,none,gold_width=5-10s,p95_retrieval_ms,19.7478,731
B,legacy,none,gold_width=5-10s,mean_ppr_calls,3.902872777017784,731
B,legacy,none,gold_width=5-10s,max_ppr_calls,5,731
B,legacy,none,gold_width=5-10s,avg_context_frames,4.0,731
B,legacy,none,gold_width=5-10s,max_context_frames_observed,4,731
B,legacy,none,gold_width=>=10s,n,551,551
B,legacy,none,gold_width=>=10s,gold_frame_at_4,0.7894736842105263,551
B,legacy,none,gold_width=>=10s,anchor_in_gold_at_1,0.5226860254083484,551
